palette_id,palette_name,keywords,primary,secondary,accent,background,text,mood,industry
pal035,Mauve Elegant,mauve purple elegant soft sophisticated feminine,#D946EF,#E879F9,#F0ABFC,#FAF5FF,#701A75,elegant_feminine,beauty fashion wellness
pal036,Rust Orange,rust orange warm earthy autumn natural,#EA580C,#F97316,#FB923C,#FFF7ED,#7C2D12,warm_earthy,outdoor fashion interior
pal037,Sapphire Blue,sapphire blue rich deep elegant premium,#1E40AF,#2563EB,#3B82F6,#EFF6FF,#1E3A8A,rich_premium,luxury tech finance
pal038,Olive Green,olive green muted natural military earthy,#65A30D,#84CC16,#A3E635,#F7FEE7,#3F6212,natural_grounded,outdoor military lifestyle
pal039,Fuchsia Bright,fuchsia bright bold vibrant energetic pink,#C026D3,#D946EF,#E879F9,#FAF5FF,#701A75,bright_bold,fashion creative entertainment
pal040,Graphite Dark,graphite dark gray modern industrial sleek,#374151,#4B5563,#6B7280,#F9FAFB,#111827,dark_sleek,tech industrial architecture
pal041,Tangerine,tangerine orange bright fresh energetic citrus,#F97316,#FB923C,#FDBA74,#FFF7ED,#7C2D12,bright_fresh,food events creative
pal042,Violet Deep,violet deep purple rich mysterious elegant,#7C3AED,#8B5CF6,#A78BFA,#F5F3FF,#5B21B6,deep_mysterious,creative premium spiritual
pal043,Seafoam,seafoam green blue fresh calm coastal clean,#2DD4BF,#5EEAD4,#99F6E4,#F0FDFA,#134E4A,calm_coastal,wellness travel marine
pal044,Burgundy,burgundy red dark rich wine elegant,#9F1239,#BE123C,#E11D48,#FFF1F2,#881337,rich_elegant,luxury wine hospitality
pal045,Sky Blue,sky blue light fresh clean airy open,#0EA5E9,#38BDF8,#7DD3FC,#F0F9FF,#075985,fresh_open,tech health travel
pal046,Moss Green,moss green natural organic earthy muted,#4D7C0F,#65A30D,#84CC16,#F7FEE7,#365314,natural_organic,eco wellness outdoor
pal047,Magenta Bold,magenta bold vibrant energetic pink purple,#C026D3,#D946EF,#E879F9,#FAF5FF,#701A75,bold_energetic,creative fashion entertainment
pal048,Bronze,bronze brown gold metallic warm earthy,#92400E,#B45309,#D97706,#FFFBEB,#451A03,warm_metallic,luxury hospitality interior
pal049,Cerulean,cerulean blue bright fresh clean vibrant,#0284C7,#0EA5E9,#38BDF8,#F0F9FF,#075985,bright_clean,tech health corporate
pal050,Khaki Neutral,khaki tan neutral warm earthy military,#A16207,#CA8A04,#EAB308,#FFFBEB,#713F12,neutral_earthy,outdoor lifestyle military
pal051,Raspberry,raspberry red pink bright vibrant berry,#BE185D,#DB2777,#EC4899,#FFF1F2,#831843,bright_vibrant,food beauty creative
pal052,Pewter,pewter gray blue metallic modern cool,#475569,#64748B,#94A3B8,#F8FAFC,#1E293B,cool_metallic,tech industrial corporate
pal053,Apricot,apricot orange peach warm soft friendly,#F97316,#FB923C,#FDBA74,#FFF7ED,#7C2D12,warm_friendly,food beauty wellness
pal054,Periwinkle,periwinkle blue purple soft dreamy calm,#818CF8,#A5B4FC,#C7D2FE,#EEF2FF,#3730A3,soft_dreamy,wellness beauty creative
pal055,Terracotta,terracotta orange brown earthy warm natural,#C2410C,#EA580C,#F97316,#FFF7ED,#7C2D12,earthy_warm,interior outdoor lifestyle
pal056,Jade,jade green rich elegant premium luxury,#047857,#059669,#10B981,#ECFDF5,#064E3B,rich_elegant,luxury wellness premium
pal057,Mulberry,mulberry purple red dark rich wine,#86198F,#A21CAF,#C026D3,#FAF5FF,#701A75,dark_rich,luxury creative beauty
pal058,Caramel,caramel brown warm sweet cozy comfort,#92400E,#B45309,#D97706,#FFFBEB,#451A03,warm_cozy,food hospitality lifestyle
pal059,Aquamarine,aquamarine blue green tropical fresh coastal,#06B6D4,#22D3EE,#67E8F9,#ECFEFF,#164E63,fresh_tropical,travel wellness marine
pal060,Eggplant,eggplant purple dark rich sophisticated elegant,#6B21A8,#7C3AED,#8B5CF6,#F5F3FF,#581C87,dark_sophisticated,luxury creative premium
pal061,Canary Yellow,canary yellow bright cheerful energetic vibrant,#EAB308,#FACC15,#FDE047,#FEFCE8,#713F12,bright_cheerful,creative food events
pal062,Teal Dark,teal dark blue green sophisticated professional,#115E59,#134E4A,#0F766E,#F0FDFA,#042F2E,dark_sophisticated,corporate tech wellness
pal063,Blush Pink,blush pink soft romantic feminine delicate,#FDA4AF,#FECDD3,#FEE2E2,#FFF1F2,#881337,soft_romantic,beauty fashion wellness
pal064,Gunmetal,gunmetal gray dark industrial strong modern,#374151,#4B5563,#6B7280,#F9FAFB,#111827,dark_industrial,tech construction military
pal065,Lemon,lemon yellow bright fresh citrus clean,#FACC15,#FDE047,#FEF08A,#FEFCE8,#713F12,bright_fresh,food events creative
pal066,Prussian Blue,prussian blue dark rich classic elegant,#1E3A8A,#1E40AF,#2563EB,#EFF6FF,#172554,dark_classic,corporate legal premium
pal067,Flamingo,flamingo pink coral tropical vibrant bright,#FB7185,#FDA4AF,#FECDD3,#FFF1F2,#881337,tropical_vibrant,beauty fashion tropical
pal068,Ash Gray,ash gray neutral modern minimal clean,#71717A,#A1A1AA,#D4D4D8,#FAFAFA,#18181B,neutral_minimal,tech design corporate
pal069,Honey Gold,honey gold warm sweet rich organic,#D97706,#F59E0B,#FBBF24,#FFFBEB,#78350F,warm_sweet,food wellness premium
pal070,Cobalt,cobalt blue bright bold vibrant electric,#1E40AF,#2563EB,#3B82F6,#EFF6FF,#1E3A8A,bright_bold,tech sports creative
pal071,Pistachio,pistachio green light fresh soft natural,#BEF264,#D9F99D,#ECFCCB,#F7FEE7,#365314,light_fresh,food wellness lifestyle
pal072,Orchid,orchid purple pink elegant exotic feminine,#C026D3,#D946EF,#E879F9,#FAF5FF,#701A75,elegant_exotic,beauty fashion wellness
pal073,Sienna,sienna brown orange earthy warm rustic,#B45309,#D97706,#F59E0B,#FFFBEB,#78350F,earthy_rustic,outdoor interior lifestyle
pal074,Mint Cream,mint cream light fresh clean minimal,#D1FAE5,#A7F3D0,#6EE7B7,#ECFDF5,#065F46,light_clean,wellness beauty minimal
pal075,Amethyst,amethyst purple rich elegant mystical premium,#7C3AED,#8B5CF6,#A78BFA,#F5F3FF,#5B21B6,rich_mystical,luxury spiritual creative
pal076,Copper,copper brown orange metallic warm industrial,#B45309,#D97706,#F59E0B,#FFFBEB,#78350F,warm_metallic,interior premium industrial
pal077,Powder Blue,powder blue light soft calm gentle clean,#BAE6FD,#7DD3FC,#38BDF8,#F0F9FF,#075985,soft_calm,wellness beauty minimal
pal078,Maroon,maroon red dark rich classic elegant,#7F1D1D,#991B1B,#B91C1C,#FEF2F2,#450A0A,dark_classic,luxury wine premium
pal079,Chartreuse,chartreuse yellow green bright energetic vibrant,#A3E635,#BEF264,#D9F99D,#F7FEE7,#365314,bright_energetic,food sports creative
pal080,Slate Blue,slate blue gray muted professional calm,#475569,#64748B,#94A3B8,#F8FAFC,#1E293B,muted_professional,corporate tech design
pal081,Peony Pink,peony pink soft feminine romantic elegant,#F9A8D4,#FBCFE8,#FCE7F3,#FDF4FF,#831843,soft_feminine,beauty fashion wellness
pal082,Olive Drab,olive drab green muted military tactical,#3F6212,#4D7C0F,#65A30D,#F7FEE7,#365314,muted_tactical,military outdoor adventure
pal083,Poppy Red,poppy red bright bold vibrant passionate,#DC2626,#EF4444,#F87171,#FEF2F2,#7F1D1D,bright_passionate,events sports food
pal084,Slate Warm,slate warm gray brown neutral cozy,#57534E,#78716C,#A8A29E,#FAF9F6,#1C1917,warm_neutral,interior lifestyle hospitality
pal085,Seafoam Mint,seafoam mint green light fresh coastal clean,#5EEAD4,#99F6E4,#CCFBF1,#F0FDFA,#134E4A,light_coastal,wellness travel marine
pal086,Aubergine,aubergine purple dark rich sophisticated wine,#581C87,#6B21A8,#7C3AED,#F5F3FF,#3B0764,dark_sophisticated,luxury creative premium
pal087,Champagne,champagne gold beige elegant celebration luxury,#FDE68A,#FEF08A,#FEFCE8,#FFFBEB,#713F12,elegant_luxury,luxury events premium
pal088,Denim Blue,denim blue casual classic comfortable reliable,#1E40AF,#2563EB,#3B82F6,#EFF6FF,#1E3A8A,casual_reliable,fashion lifestyle retail
pal089,Buttercup,buttercup yellow bright cheerful warm friendly,#FDE047,#FEF08A,#FEFCE8,#FFFBEB,#713F12,bright_cheerful,creative food events
pal090,Storm Gray,storm gray dark moody dramatic atmospheric,#27272A,#3F3F46,#52525B,#FAFAFA,#18181B,dark_dramatic,tech creative fashion
pal091,Coral Light,coral light pink orange soft tropical warm,#FECDD3,#FED7AA,#FEE2E2,#FFF7ED,#7C2D12,soft_tropical,beauty wellness fashion
pal092,Jade Dark,jade dark green rich deep elegant premium,#064E3B,#065F46,#047857,#ECFDF5,#F0FDF4,dark_elegant,luxury wellness premium
pal093,Lilac,lilac purple light soft dreamy gentle,#DDD6FE,#E9D5FF,#F3E8FF,#FAF5FF,#4C1D95,light_dreamy,beauty wellness creative
pal094,Rust Red,rust red orange earthy warm industrial,#991B1B,#B91C1C,#DC2626,#FEF2F2,#7F1D1D,earthy_industrial,outdoor interior construction
pal095,Azure,azure blue bright fresh clean open sky,#0EA5E9,#38BDF8,#7DD3FC,#F0F9FF,#075985,bright_open,tech travel corporate
